"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"organiser ses photos numériques","EUR","50","-100%","0%","Unknown","","0","0","photo_organization","high"
"cadeau personnalisé photo","EUR","5000","0%","0%","High","100","0.005332381","0.013389145","gift_personalized","high"
"cadeau anniversaire mariage","EUR","5000","0%","0%","High","100","0.002073034","0.007570045","gift_anniversary","high"
"cadeau fête des mères original","EUR","5000","0%","-90%","High","78","0.001648908","0.005991879","gift_mothers","high"
"cadeau grands parents","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"cadeau noël personnalisé","EUR","500","0%","0%","High","100","0.003379642","0.010375275","gift_personalized","high"
"cadre photo personnalisé","EUR","50000","900%","0%","High","100","0.008625307","0.026488475","physical_products","medium"
"cadre personnalisé","EUR","5000","900%","0%","High","100","0.006941191","0.01789153","physical_products","medium"
"toile photo personnalisé","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"toile personnalisée","EUR","5000","0%","0%","High","100","0.008385697","0.030920119","physical_products","medium"
"cadeau photo","EUR","5000","900%","0%","High","100","0.006689845","0.019300176","gift_personalized","high"
"photo personnalisé","EUR","5000","0%","0%","High","100","0.007870291","0.02201217","gift_personalized","high"
"cadeau photo personnalisé","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"tee shirt personnalisé photo","EUR","5000","0%","0%","High","100","0.005711193","0.013267221","physical_products","medium"
"cadre personnalisé famille","EUR","5000","0%","-90%","High","100","0.004728629","0.015787852","physical_products","medium"
"porte clé photo","EUR","5000","900%","0%","High","100","0.004247454","0.011230373","physical_products","medium"
"porte clés personnalisé photo","EUR","5000","0%","0%","High","100","0.004659517","0.011232003","physical_products","medium"
"plaque spotify personnalisé","EUR","500","900%","0%","High","100","0.005234581","0.01842454","physical_products","medium"
"poster photo personnalisé","EUR","5000","0%","0%","High","100","0.007850731","0.022881611","physical_products","medium"
"cadre famille personnalisé","EUR","5000","0%","0%","High","100","0.003651852","0.012189139","physical_products","medium"
"idee cadeau mariage","EUR","5000","0%","0%","High","100","0.001672706","0.006743635","life_events","medium"
"objet personnalisé photo","EUR","5000","0%","0%","High","100","0.005351615","0.013401533","physical_products","medium"
"photo sur toile personnalisé","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"t shirt personnalisé photo","EUR","5000","0%","0%","High","100","0.006204105","0.014379858","physical_products","medium"
"boule de noel personnalisé","EUR","5000","900%","0%","High","100","0.003837672","0.008945765","physical_products","medium"
"chaussettes personnalisées photo","EUR","5000","0%","0%","High","100","0.003822676","0.010150987","physical_products","medium"
"toile personnalisée famille","EUR","500","900%","0%","High","100","0.005500271","0.016914834","physical_products","medium"
"boules de noel personnalisées","EUR","5000","0%","0%","High","100","0.003552422","0.008950655","gift_personalized","high"
"idée cadeau fête des mères original","EUR","5000","0%","0%","High","100","0.0008965","0.009054323","gift_mothers","high"
"cadre personnalisé couple","EUR","500","900%","0%","High","100","0.005042241","0.011018473","physical_products","medium"
"porte clé personnalisé photo","EUR","5000","0%","0%","High","100","0.004858051","0.011343495","physical_products","medium"
"idee cadeau photo","EUR","5000","0%","0%","High","100","0.003416806","0.013264613","gift_personalized","high"
"cadeau anniversaire de mariage","EUR","5000","-90%","-90%","High","100","0.001986644","0.007493435","gift_anniversary","high"
"toile photo personnalisée","EUR","500","0%","0%","High","100","0.011897043","0.042812923","physical_products","medium"
"cube photo personnalisé","EUR","500","900%","0%","High","100","0.004172148","0.014842452","physical_products","medium"
"toile personnalisée photo","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"cadeau avec photo","EUR","500","900%","0%","High","100","0.004950961","0.013925414","gift_personalized","high"
"photo cadre personnalisé","EUR","50000","900%","0%","High","100","0.008625307","0.026488475","physical_products","medium"
"portrait famille personnalisé","EUR","500","900%","0%","High","100","0.003024954","0.012678465","gift_personalized","high"
"photo toile personnalisé","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"idee cadeau grand parent","EUR","5000","900%","0%","High","100","0.001192834","0.004571823","gift_grandparents","high"
"chaussettes personnalisées visage","EUR","50","0%","0%","High","100","0.004025448","0.011805437","physical_products","medium"
"cadre photo personnalisé original","EUR","500","900%","0%","High","100","0.005973623","0.017757218","physical_products","medium"
"cadeaux photo","EUR","5000","900%","0%","High","100","0.006689845","0.019300176","gift_other","medium"
"coque personnalisée photo","EUR","500","0%","-90%","High","100","0.004883805","0.011436405","physical_products","medium"
"taie d oreiller personnalisée","EUR","500","0%","0%","High","100","0.004634089","0.010367125","physical_products","medium"
"tshirt personnalisé photo","EUR","5000","0%","0%","High","100","0.006204105","0.014379858","physical_products","medium"
"cadeau noce de coton","EUR","5000","-90%","0%","High","100","0.00169846","0.004963023","life_events","medium"
"cadre photo personnalisé famille","EUR","500","900%","0%","High","100","0.006265067","0.018286968","physical_products","medium"
"porte clé photo personnalisé","EUR","5000","0%","0%","High","100","0.004858051","0.011343495","physical_products","medium"
"cadeau original fete des meres","EUR","5000","0%","-90%","High","78","0.001648908","0.005991879","gift_mothers","high"
"cadre photo cadeau","EUR","500","0%","-90%","High","100","0.009772827","0.029822803","physical_products","medium"
"cadre personnalise","EUR","5000","900%","0%","High","100","0.006941191","0.01789153","physical_products","medium"
"cadre spotify personnalisé","EUR","50","900%","0%","High","100","0.005940045","0.017985744","physical_products","medium"
"cadeau photo original","EUR","500","0%","-90%","High","100","0.003877118","0.012499491","gift_personalized","high"
"cadeau noel personnalisé","EUR","500","0%","0%","High","100","0.003379642","0.010375275","gift_personalized","high"
"cadeau 1 an de mariage","EUR","5000","0%","0%","High","100","0.002042716","0.007403133","life_events","medium"
"cadeau photo personnalisé original","EUR","500","900%","0%","High","100","0.004681033","0.013146601","gift_personalized","high"
"poster personnalisé famille","EUR","500","900%","0%","High","100","0.003892114","0.012775287","physical_products","medium"
"photo personnalisé cadeau","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"photo plexiglas personnalisé","EUR","50","900%","0%","High","100","0.007517885","0.028311793","gift_personalized","high"
"cadre naissance personnalisé","EUR","500","0%","-90%","High","100","0.003006372","0.010290189","physical_products","medium"
"cadeau personnalisé avec photo","EUR","500","900%","0%","High","100","0.004990733","0.012911881","gift_personalized","high"
"paillasson personnalisé photo","EUR","500","0%","0%","High","100","0.00419073","0.011533553","gift_personalized","high"
"objet photo personnalisé","EUR","5000","0%","0%","High","100","0.005351615","0.013401533","physical_products","medium"
"cadeau de noel personnalisé","EUR","500","900%","0%","High","100","0.00331216","0.009693609","gift_personalized","high"
"grand cadre photo personnalisé","EUR","500","900%","0%","High","100","0.008065565","0.024329051","physical_products","medium"
"cadre photo famille","EUR","500","900%","0%","High","100","0.005327491","0.019910122","physical_products","medium"
"toile personnalise","EUR","5000","0%","0%","High","100","0.008385697","0.030920119","physical_products","medium"
"cadeaux grands parents","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"poster personnalisé photo","EUR","5000","0%","0%","High","100","0.007850731","0.022881611","physical_products","medium"
"cadre avec photo personnalisé","EUR","500","0%","0%","High","100","0.008334189","0.028253765","physical_products","medium"
"porte clé avec photo","EUR","500","0%","-90%","High","100","0.003951772","0.010766801","physical_products","medium"
"t shirt photo personnalisé","EUR","5000","0%","0%","High","100","0.006204105","0.014379858","physical_products","medium"
"cadre personnalisé photo","EUR","50000","900%","0%","High","100","0.008625307","0.026488475","physical_products","medium"
"photo lego personnalisé","EUR","500","0%","0%","High","100","0.002031958","0.007836061","gift_personalized","high"
"cadre prenom personnalisé","EUR","500","0%","0%","High","100","0.003902546","0.011852707","physical_products","medium"
"idée cadeau photo","EUR","5000","0%","0%","High","100","0.003416806","0.013264613","gift_personalized","high"
"sweat personnalisé photo","EUR","500","0%","0%","High","100","0.005957323","0.018079958","physical_products","medium"
"cadre toile personnalisé","EUR","500","0%","0%","High","100","0.008269315","0.032762996","physical_products","medium"
"lego photo personnalisé","EUR","500","0%","0%","High","100","0.002237012","0.009567447","gift_personalized","high"
"cadeau pour grand parent","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"impression photo sur tee shirt","EUR","500","0%","0%","High","100","0.006134341","0.018181996","physical_products","medium"
"cadeau noce de bois","EUR","500","0%","0%","High","100","0.002116718","0.009112025","life_events","medium"
"toile famille personnalisé","EUR","500","0%","-90%","High","100","0.004421538","0.014560788","physical_products","medium"
"objets personnalisés photo","EUR","500","0%","0%","High","100","0.006398401","0.016112548","gift_personalized","high"
"personnaliser coque","EUR","50000","0%","0%","High","100","0.003972962","0.010985547","physical_products","medium"
"tee shirt avec photo","EUR","500","0%","0%","High","100","0.005404101","0.014304878","physical_products","medium"
"plaque spotify personnalisable","EUR","50","0%","0%","High","100","0.006710383","0.01913685","physical_products","medium"
"oreiller personnalisé photo","EUR","500","0%","0%","High","100","0.005711845","0.017292668","physical_products","medium"
"cadeau personnalise photo","EUR","5000","0%","0%","High","100","0.005332381","0.013389145","gift_personalized","high"
"portrait photo personnalisé","EUR","500","0%","0%","High","100","0.007484959","0.0221442","gift_personalized","high"
"idée cadeau avec photo","EUR","500","900%","0%","High","100","0.004099124","0.012562083","gift_personalized","high"
"cadre photo lumineux personnalisé","EUR","50","900%","0%","High","100","0.00377508","0.011205923","physical_products","medium"
"poster xxl personnalisé","EUR","500","0%","0%","High","100","0.005487883","0.01678476","physical_products","medium"
"porte cle personnalise avec photo","EUR","50","900%","0%","High","100","0.005133521","0.011303397","physical_products","medium"
"cadeau grand parents","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"t shirt personnalisé avec photo","EUR","500","0%","0%","High","100","0.005949825","0.015323954","physical_products","medium"
"cadre photo spotify","EUR","50","900%","0%","High","99","0.007365643","0.019345816","physical_products","medium"
"cadre lumineux personnalisé","EUR","500","900%","0%","High","100","0.003591868","0.010993697","physical_products","medium"
"cadre en toile personnalisé","EUR","500","0%","0%","High","100","0.008269315","0.032762996","physical_products","medium"
"photo sur tee shirt","EUR","500","0%","0%","High","100","0.005512333","0.01758346","physical_products","medium"
"cadre photo famille personnalisé","EUR","500","0%","0%","High","100","0.004457724","0.016976774","physical_products","medium"
"livre personnalisé noel","EUR","500","0%","0%","High","100","0.006955535","0.032264216","gift_personalized","high"
"photo porte clé","EUR","5000","900%","0%","High","100","0.004247454","0.011230373","physical_products","medium"
"cadre couple personnalisé","EUR","500","0%","0%","High","100","0.004323412","0.011901607","physical_products","medium"
"photo personnalisée","EUR","500","0%","0%","High","100","0.007679581","0.020947128","gift_personalized","high"
"idée cadeau anniversaire de mariage","EUR","5000","0%","0%","High","100","0.00152405","0.006206387","gift_anniversary","high"
"cadeau noel grand parent","EUR","500","900%","0%","High","100","0.001707262","0.005691307","gift_grandparents","high"
"imprimer photo sur tee shirt","EUR","500","0%","0%","High","100","0.005167099","0.016763244","physical_products","medium"
"plaque photo personnalisé","EUR","50","900%","0%","High","100","0.006692779","0.019692354","physical_products","medium"
"noce de coton cadeau","EUR","5000","-90%","0%","High","100","0.00169846","0.004963023","life_events","medium"
"tee shirt personnalisé photo pas cher","EUR","500","0%","0%","High","100","0.004571823","0.011750343","physical_products","medium"
"objet photo personnalisé original","EUR","50","900%","0%","High","100","0.004962697","0.014728678","physical_products","medium"
"porte clés personnalisé photo recto verso","EUR","500","900%","0%","High","100","0.004571171","0.010887747","physical_products","medium"
"porte cle photo personnalisable","EUR","5000","0%","0%","High","100","0.004858051","0.011343495","physical_products","medium"
"lego personnalisé photo","EUR","500","0%","0%","High","100","0.001864394","0.007683493","gift_personalized","high"
"cadre photo personnalisé gravé","EUR","500","0%","-90%","High","100","0.005675333","0.018152656","physical_products","medium"
"cadre photo personnalisé avec texte","EUR","50","0%","0%","High","100","0.005546563","0.018055508","physical_products","medium"
"porte clé photo gravé","EUR","500","0%","0%","High","100","0.003766278","0.009442915","physical_products","medium"
"livre de noel personnalisé","EUR","50","0%","0%","High","100","0.005502227","0.019455352","gift_personalized","high"
"plaque personnalisée spotify","EUR","50","0%","0%","High","100","0.005193179","0.01546283","physical_products","medium"
"cadeaux photos personnalisés","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"photo personnalisé sur toile","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"cadeau avec photo personnalisé","EUR","500","900%","0%","High","100","0.004990733","0.012911881","gift_personalized","high"
"photo cadre cadeau","EUR","500","0%","-90%","High","100","0.009772827","0.029822803","physical_products","medium"
"livre noel personnalisé","EUR","500","0%","0%","High","100","0.006955535","0.032264216","gift_personalized","high"
"portrait de famille personnalisé","EUR","500","0%","0%","High","100","0.003395942","0.012651081","gift_personalized","high"
"idée cadeau grand parents","EUR","5000","900%","0%","High","100","0.001192834","0.004571823","gift_grandparents","high"
"cadre photo personnalisé avec prénom","EUR","500","0%","0%","High","99","0.004331236","0.013661028","physical_products","medium"
"cadeau personnalisé noel","EUR","500","0%","-90%","High","100","0.003084938","0.010508935","gift_personalized","high"
"zippo personnalisé photo","EUR","50","900%","0%","High","99","0.002708408","0.008868177","gift_personalized","high"
"cadeau original maman","EUR","500","900%","0%","High","100","0.001862438","0.007781293","gift_mothers","high"
"porte clé photo recto verso","EUR","500","900%","0%","High","100","0.004680381","0.011932251","physical_products","medium"
"cadre photo personnalisé lumineux","EUR","500","0%","-90%","High","100","0.004455442","0.012377567","physical_products","medium"
"tee shirt personnalisé avec photo","EUR","500","0%","0%","High","100","0.005903207","0.014978068","physical_products","medium"
"tee shirt personnalisé photo et texte","EUR","500","0%","0%","High","99","0.005536131","0.013630711","physical_products","medium"
"cadeau noce de froment","EUR","5000","0%","0%","High","99","0.001962194","0.005445177","life_events","medium"
"photo poster personnalisé","EUR","5000","0%","0%","High","100","0.007850731","0.022881611","physical_products","medium"
"cadeau noce de cuir","EUR","500","0%","0%","High","100","0.002466842","0.006942169","life_events","medium"
"photo personnalisé cadre","EUR","50000","900%","0%","High","100","0.008625307","0.026488475","physical_products","medium"
"coque photo personnalisée","EUR","500","0%","-90%","High","100","0.004883805","0.011436405","physical_products","medium"
"plaque spotify personnalisée","EUR","50","900%","0%","High","100","0.005091467","0.015727542","physical_products","medium"
"boule de noël personnalisé","EUR","5000","900%","0%","High","100","0.003837672","0.008945765","physical_products","medium"
"boule de noël personnalisée mon premier noël","EUR","50","900%","0%","High","100","0.002549646","0.007786509","physical_products","medium"
"porte clé gravé photo","EUR","500","0%","0%","High","100","0.003766278","0.009442915","physical_products","medium"
"cadeau noces de coton","EUR","500","-90%","-90%","High","100","0.001693244","0.004419908","gift_anniversary","high"
"cadeau noce de cire","EUR","500","0%","0%","High","100","0.001814516","0.004925207","life_events","medium"
"cadeau cadre photo personnalisé","EUR","500","900%","0%","High","100","0.007705987","0.021816244","physical_products","medium"
"poster geant personnalisé","EUR","50","900%","0%","High","100","0.004837839","0.014886788","physical_products","medium"
"cadeau homme personnalisé photo","EUR","50","900%","0%","High","100","0.003379642","0.009228081","gift_personalized","high"
"tee shirt photo personnalisé","EUR","5000","0%","0%","High","100","0.005711193","0.013267221","physical_products","medium"
"impression photo personnalisé","EUR","500","900%","0%","High","100","0.013089877","0.033005214","physical_products","medium"
"impression toile personnalisée","EUR","500","0%","0%","High","100","0.008570865","0.032610428","physical_products","medium"
"cadeau papy mamie","EUR","500","900%","0%","High","100","0.001904492","0.006105653","gift_grandparents","high"
"portrait personnalisé famille","EUR","50","900%","0%","High","100","0.003809962","0.013773498","gift_personalized","high"
"cadeau photo fete des peres","EUR","500","0%","0%","High","100","0","0","gift_fathers","high"
"cadeau noces de bois","EUR","500","-90%","0%","High","100","0.002617128","0.014223378","gift_anniversary","high"
"porte clé personnalisé photo et texte","EUR","50","0%","0%","High","100","0.002796428","0.007752279","physical_products","medium"
"cadre photo personnalisé pas cher","EUR","50","900%","0%","High","100","0.006486421","0.02189807","physical_products","medium"
"personnalisé photo","EUR","5000","0%","0%","High","100","0.007870291","0.02201217","gift_personalized","high"
"toile xxl personnalisée","EUR","50","0%","-90%","High","100","0.004760251","0.018213292","physical_products","medium"
"impression sur toile personnalisée","EUR","500","0%","0%","High","100","0.008570865","0.032610428","physical_products","medium"
"idée cadeau anniversaire mariage","EUR","500","0%","0%","High","100","0.001777678","0.007138747","gift_anniversary","high"
"toile photo personnalisé pas cher","EUR","50","900%","0%","High","100","0.008371679","0.028683107","physical_products","medium"
"ecocup personnalisé photo","EUR","50","0%","0%","High","100","0.00350776","0.013599415","gift_personalized","high"
"idée cadeau original pour grand parents","EUR","500","900%","0%","High","100","0.001379958","0.005366611","gift_grandparents","high"
"cadre photo toile personnalisé","EUR","50","900%","0%","High","100","0.009536151","0.03621501","physical_products","medium"
"cadre photo personnalisable","EUR","500","0%","0%","High","100","0.008336145","0.025978611","physical_products","medium"
"porte clés gravure photo","EUR","500","0%","0%","High","100","0.003766278","0.009442915","physical_products","medium"
"porte clé photo fete des peres","EUR","50","0%","-100%","Unknown","","0","0","gift_fathers","high"
"impression photo cadeau","EUR","50","900%","0%","High","100","0.009081381","0.026316673","physical_products","medium"
"cadeau noces d or","EUR","500","0%","0%","High","100","0.001460806","0.005394973","gift_anniversary","high"
"idee cadeau personnalisé photo","EUR","500","0%","0%","High","100","0.004385026","0.011655151","gift_personalized","high"
"cadeau photo fete des meres","EUR","500","0%","0%","High","100","0","0","gift_mothers","high"
"imprimer une photo sur un tee shirt","EUR","500","0%","0%","High","100","0.005167099","0.016763244","physical_products","medium"
"livre photo cadeau","EUR","50","900%","0%","High","100","0.01375459","0.054446558","physical_products","medium"
"objet personnalisé avec photo","EUR","500","900%","0%","High","100","0.004770683","0.012818971","physical_products","medium"
"t shirt avec photo personnalisé","EUR","500","0%","0%","High","100","0.005949825","0.015323954","physical_products","medium"
"photo cadeau personnalisé","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"chaussettes avec photo personnalisé","EUR","500","900%","0%","High","100","0.003794966","0.012557845","physical_products","medium"
"photo cadeau noel","EUR","500","900%","0%","High","100","0.007469963","0.024762305","gift_personalized","high"
"toile personnalisée pas cher","EUR","50","0%","-90%","High","100","0.008448941","0.029982217","physical_products","medium"
"cadeau pour anniversaire de mariage","EUR","5000","-90%","-90%","High","100","0.001986644","0.007493435","gift_anniversary","high"
"toile imprimée personnalisée","EUR","50","0%","0%","High","100","0.008282355","0.030943917","physical_products","medium"
"badge personnalisé photo","EUR","500","0%","0%","High","100","0.004329606","0.010235095","gift_personalized","high"
"idée cadeau anniversaire de mariage couple","EUR","500","0%","0%","High","100","0.002435546","0.008498167","gift_anniversary","high"
"cadeau cadre photo","EUR","500","0%","-90%","High","100","0.009772827","0.029822803","physical_products","medium"
"cadre personnalisé avec plusieurs photos","EUR","50","900%","0%","High","100","0.006964337","0.02185895","physical_products","medium"
"taie oreiller personnalisé","EUR","500","0%","0%","High","100","0.004289182","0.010641291","physical_products","medium"
"cadre sur toile personnalisé","EUR","500","0%","0%","High","100","0.008269315","0.032762996","physical_products","medium"
"bob personnalisé photo","EUR","500","0%","-90%","High","100","0.004273208","0.010385055","gift_personalized","high"
"objet personnalisable photo","EUR","500","0%","0%","High","100","0.006398401","0.016112548","physical_products","medium"
"cadeau fete des meres photo","EUR","500","0%","0%","High","100","0","0","gift_mothers","high"
"idée cadeau noce de coton","EUR","500","0%","0%","High","100","0.001991208","0.005764331","life_events","medium"
"cadre photo plexiglas personnalisé","EUR","50","0%","0%","High","100","0.006238335","0.029819217","physical_products","medium"
"cadeau anniversaire mariage homme","EUR","500","0%","0%","High","100","0.00187287","0.006061969","gift_anniversary","high"
"cadre personnalisé naissance","EUR","500","0%","-90%","High","100","0.003006372","0.010290189","physical_products","medium"
"noce de bois cadeau","EUR","500","0%","0%","High","100","0.002116718","0.009112025","life_events","medium"
"photo sur bois personnalisé","EUR","50","0%","0%","High","100","0.006768411","0.018885504","gift_personalized","high"
"idee cadeau noel grand parent","EUR","500","900%","0%","High","100","0.001373112","0.005079731","gift_grandparents","high"
"cadeau original avec photo","EUR","50","900%","0%","High","100","0.003739872","0.010488071","gift_personalized","high"
"cadeau d anniversaire de mariage","EUR","500","-90%","-90%","High","99","0.00216627","0.007389767","gift_anniversary","high"
"idée cadeau photo personnalisé","EUR","500","900%","0%","High","100","0.004817301","0.014016694","gift_personalized","high"
"photo personnalisé famille","EUR","50","900%","0%","High","100","0.005452675","0.016443112","gift_personalized","high"
"photos aimantées personnalisé","EUR","500","0%","0%","High","100","0.007115927","0.018636766","gift_personalized","high"
"cadre a personnaliser","EUR","500","0%","0%","High","100","0.005140367","0.013143667","physical_products","medium"
"photo famille personnalisé","EUR","500","0%","0%","High","100","0.004142482","0.015086952","gift_personalized","high"
"photo aimantée personnalisée","EUR","500","0%","0%","High","100","0.007115927","0.018636766","gift_personalized","high"
"noce de froment cadeau","EUR","5000","0%","0%","High","99","0.001962194","0.005445177","life_events","medium"
"photo avec cadre personnalisé","EUR","50","0%","0%","High","100","0.010967617","0.031558753","physical_products","medium"
"t shirt personnalisé photo et texte","EUR","50","900%","900%","High","100","0.005125371","0.013969424","physical_products","medium"
"cadeau photo noel","EUR","500","900%","0%","High","100","0.007469963","0.024762305","gift_personalized","high"
"boule mon premier noël personnalisée","EUR","50","900%","0%","High","99","0.002608326","0.008600857","physical_products","medium"
"poster couple personnalisé","EUR","50","900%","0%","High","100","0.004658539","0.010720509","physical_products","medium"
"memory photo personnalisé","EUR","50","0%","0%","High","100","0.006369387","0.021825698","gift_personalized","high"
"idee cadeau noel personnalisé","EUR","500","0%","0%","High","100","0.002963666","0.009947563","gift_personalized","high"
"toile a personnaliser","EUR","50","0%","-90%","High","100","0.006782755","0.023503293","physical_products","medium"
"objets photos personnalisés","EUR","5000","0%","0%","High","100","0.005351615","0.013401533","gift_personalized","high"
"cadre photo personnalisé couple","EUR","500","0%","0%","High","100","0.005630671","0.01664784","physical_products","medium"
"cadeau pour ma maman","EUR","500","0%","0%","High","100","0.002322424","0.008625307","gift_mothers","high"
"cadre photo personnalisé livraison rapide","EUR","50","0%","0%","High","100","0.005841593","0.021063836","physical_products","medium"
"idée cadeau pour sa maman","EUR","500","900%","0%","High","100","0.001876782","0.007745759","gift_mothers","high"
"cadre photo sur toile personnalisé","EUR","50","0%","0%","High","100","0.006983245","0.033194294","physical_products","medium"
"objet a personnaliser avec photo","EUR","50","0%","0%","High","100","0.004714285","0.014253044","physical_products","medium"
"coque personnalisée plusieurs photos","EUR","50","0%","-90%","High","100","0.004394154","0.014958182","physical_products","medium"
"cadre personnalisé papa","EUR","50","900%","0%","High","100","0.004572149","0.011758493","gift_fathers","high"
"tee shirt personnalisé photo recto verso","EUR","50","900%","900%","High","100","0.005050717","0.013617671","physical_products","medium"
"cadeau personnalisé grand parent","EUR","500","900%","0%","High","100","0.003230334","0.009418465","gift_grandparents","high"
"cadre personnalisé fete des peres","EUR","50","0%","0%","Low","0","0","0","gift_fathers","high"
"boule personnalisée noel","EUR","500","900%","0%","High","100","0.003348672","0.008945765","physical_products","medium"
"cadeaux noel personnalisé","EUR","500","0%","0%","High","100","0.003379642","0.010375275","gift_personalized","high"
"cadeau anniversaire de mariage homme","EUR","500","0%","0%","High","100","0.00178648","0.005600679","gift_anniversary","high"
"cadeau fete des peres photo","EUR","500","0%","0%","High","100","0","0","gift_fathers","high"
"cadre photo personnalisée","EUR","500","0%","0%","High","100","0.008682357","0.027356613","physical_products","medium"
"fete des meres cadeau original","EUR","5000","0%","-90%","High","78","0.001648908","0.005991879","gift_mothers","high"
"poster multi photo personnalisé","EUR","50","0%","0%","High","100","0.008374287","0.027787911","physical_products","medium"
"cadre photo naissance","EUR","500","0%","0%","High","100","0.00302528","0.013624517","physical_products","medium"
"cadeau avec photo personnalisé pas cher","EUR","50","0%","0%","High","100","0.004639957","0.011747735","gift_personalized","high"
"porte clé personnalisé gravé photo","EUR","50","?","0%","High","100","0.004852835","0.009442915","physical_products","medium"
"porte cle personnalise photo","EUR","5000","0%","0%","High","100","0.004659517","0.011232003","physical_products","medium"
"cadeau photo personnalisé suisse","EUR","50","0%","0%","Unknown","","0","0","gift_personalized","high"
"grand poster personnalisé","EUR","50","0%","0%","High","100","0.005489513","0.016634474","physical_products","medium"
"livre personnalisé papa avec photo","EUR","50","0%","0%","High","100","0.006447301","0.023402559","gift_fathers","high"
"photo avec texte personnalisé","EUR","500","0%","0%","High","100","0.005786499","0.012813429","gift_personalized","high"
"chaussettes personnalisées livraison rapide","EUR","500","900%","0%","High","100","0.00395275","0.011325891","physical_products","medium"
"porte monnaie personnalisé photo","EUR","50","0%","-90%","High","100","0.003500914","0.008575429","physical_products","medium"
"cadre photo mariage personnalisé","EUR","500","0%","0%","High","100","0.004578995","0.01789153","physical_products","medium"
"cahier personnalisé photo","EUR","500","900%","0%","High","100","0.007943315","0.028014155","gift_personalized","high"
"porte clé personnalisé photo gravé","EUR","50","0%","0%","High","100","0.002971164","0.007810959","physical_products","medium"
"coque photo personnalisé","EUR","500","0%","-90%","High","100","0.004883805","0.011436405","physical_products","medium"
"tee shirt avec photo personnalisé","EUR","500","0%","0%","High","100","0.005903207","0.014978068","physical_products","medium"
"toile murale personnalisée","EUR","50","900%","900%","High","100","0.005795627","0.023587401","physical_products","medium"
"impression photo tee shirt","EUR","50","0%","0%","High","100","0.005882343","0.016962756","physical_products","medium"
"cadre photo personnalisé bois","EUR","50","0%","-90%","High","100","0.005782913","0.013997786","physical_products","medium"
"photo encadrée personnalisée","EUR","50","900%","900%","High","100","0.014490698","0.039742982","gift_personalized","high"
"cadeau personnalisable photo","EUR","5000","0%","0%","High","100","0.005332381","0.013389145","gift_personalized","high"
"cadeau cadre personnalisé","EUR","50","900%","0%","High","100","0.006294407","0.01712869","physical_products","medium"
"idée de cadeau pour la fête des mères","EUR","5000","-90%","-90%","High","94","0","0","gift_mothers","high"
"cadeau de noel grand parents","EUR","500","900%","0%","High","100","0.001766268","0.006415353","gift_grandparents","high"
"coque avec photo personnalisé pas cher","EUR","50","0%","0%","High","100","0","0","physical_products","medium"
"noce de coton cadeau homme","EUR","500","-90%","-90%","High","100","0.001279876","0.003884616","life_events","medium"
"cadre personnalisé mamie","EUR","500","900%","0%","High","100","0.004863593","0.012776591","gift_grandparents","high"
"noces de bois cadeau","EUR","500","0%","0%","High","100","0.002116718","0.009112025","gift_anniversary","high"
"memory personnalisé photo","EUR","50","0%","0%","High","100","0.006369387","0.021825698","gift_personalized","high"
"taie d oreiller personnalisée photo","EUR","50","0%","0%","High","100","0.005065713","0.009992551","physical_products","medium"
"cadeau personnalise avec photo","EUR","500","900%","0%","High","100","0.004990733","0.012911881","gift_personalized","high"
"sweat personnalisé brodé photo","EUR","50","0%","0%","High","100","0.005074841","0.017483052","physical_products","medium"
"cadeau noces de froment","EUR","500","0%","0%","High","100","0.001728452","0.004232458","gift_anniversary","high"
"poster photo personnalisé avec texte","EUR","50","0%","0%","High","100","0.007215031","0.020306538","physical_products","medium"
"idée cadeau anniversaire mariage parents","EUR","500","-90%","-90%","High","100","0.001703676","0.005676311","gift_anniversary","high"
"cadre photo prenom","EUR","50","900%","0%","High","100","0.004371008","0.015616702","physical_products","medium"
"cadeau noce d étain","EUR","500","-90%","-90%","High","100","0.001335622","0.004002302","life_events","medium"
"cadeau noce de laine","EUR","500","0%","0%","High","100","0.001714434","0.005841593","life_events","medium"
"noce de cire cadeau","EUR","500","0%","0%","High","100","0.001814516","0.004925207","life_events","medium"
"porte clé personnalisé avec photo","EUR","50","900%","0%","High","100","0.005133521","0.011303397","physical_products","medium"
