"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"25 anniversaire de mariage","EUR","50","0%","0%","Low","9","0","0","gift_anniversary","high"
"25 mariage noce","EUR","50","0%","0%","Low","4","0","0","life_events","medium"
"2eme anniversaire de mariage","EUR","50","0%","0%","Low","25","0","0","gift_anniversary","high"
"2eme anniversaire mariage","EUR","50","0%","0%","Low","7","0","0","gift_anniversary","high"
"3 anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"30 anniversaire de mariage","EUR","50000","0%","0%","Low","7","9.9756E-05","0.003003438","gift_anniversary","high"
"30 e anniversaire de mariage","EUR","50","0%","?","Low","0","0","0","gift_anniversary","high"
"30 mariage noce de","EUR","50","0%","0%","Low","2","0","0","life_events","medium"
"30e anniversaire de mariage","EUR","50","0%","0%","Low","24","0","0","gift_anniversary","high"
"30ème anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"32e anniversaire de mariage","EUR","50","0%","-100%","Unknown","","0","0","gift_anniversary","high"
"35 de mariage noce de quoi","EUR","50","0%","0%","Low","0","0","0","life_events","medium"
"35e anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"39e anniversaire de mariage","EUR","50","-100%","-100%","Unknown","","0","0","gift_anniversary","high"
"3eme anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"40 de mariage noce de","EUR","50","0%","0%","Low","0","0","0","life_events","medium"
"40 de mariage noce de quoi","EUR","500","0%","0%","Low","2","0","0","life_events","medium"
"40 e anniversaire de mariage","EUR","50","0%","0%","Unknown","","0","0","gift_anniversary","high"
"40 mariage noce de quoi","EUR","50","0%","0%","Medium","60","0","0","life_events","medium"
"40ème anniversaire de mariage","EUR","50","0%","0%","High","97","0","0","gift_anniversary","high"
"40ème anniversaire mariage","EUR","50","0%","0%","Medium","63","0","0","gift_anniversary","high"
"45 anniversaire de mariage","EUR","5000","0%","0%","Low","2","9.9104E-05","0.003243048","gift_anniversary","high"
"45 e anniversaire de mariage","EUR","50","-100%","0%","Unknown","","0","0","gift_anniversary","high"
"45 mariage noce de quoi","EUR","50","0%","0%","Low","0","0","0","life_events","medium"
"45e anniversaire de mariage","EUR","50","0%","0%","Low","27","0","0","gift_anniversary","high"
"45ème anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"5 anniversaire de mariage","EUR","50","0%","0%","Low","29","0","0","gift_anniversary","high"
"5 année de mariage","EUR","5000","0%","0%","Low","16","0.000100408","0.004801001","life_events","medium"
"50 de mariage noce","EUR","50","0%","0%","Low","10","0","0","life_events","medium"
"50 de mariage noce de quoi","EUR","500","0%","0%","Low","3","0","0","life_events","medium"
"50 e anniversaire de mariage","EUR","50","0%","0%","Low","0","0","0","gift_anniversary","high"
"50 mariage noce de","EUR","50","0%","0%","Low","2","0","0","life_events","medium"
"50 noces d or","EUR","50","0%","0%","Low","29","0","0","gift_anniversary","high"
